Fas3_1_1_1_2				Fas3_1_1_1_3				Fas3_1_1_2_4				Fas3_1_2_5_4				Fas3_1_3_4_1				
0.245670152963382 0.000010608727486	0.195398904583880 0.000140357185022	0.146175760753403 0.000037330601170	0.207696986480783 -0.000297258842565	0.287794256288477 -0.000094071751843	
-0.017014912635274 -0.000000000020069	-0.008232441225086 -0.000000000009710	0.031012206727591 0.000000000036578	-0.002138221215053 -0.000000000002522	0.001509609878239 0.000000000001781	
-0.078517416366137 -0.000221852508929	0.029935658577685 0.000084583793880	-0.011174926979369 -0.000031574976638	-0.121535074570127 -0.000343399750835	0.026271532738474 0.000074230734036	
-0.003315798131919 0.000038743254243	-0.011671165369427 0.000136371066400	-0.005483382040515 0.000064070264851	0.065094180298075 -0.000760589238753	-0.046118030666355 0.000538863500188	
-0.029116425367786 -0.028921846013578	-0.026810049661854 -0.026630883363670	0.048078077561387 0.047756781208373	0.036281694511664 0.036039231070549	-0.013924224555316 -0.013831171696402	
0.002102519085025 -0.000016490345765	0.016185014897248 -0.000126941293312	-0.001985359679829 0.000015571448469	-0.044425979924335 0.000348439058230	0.023969196531818 -0.000187993698289	
0.000667789219078 -0.021670102628789	-0.002310892464237 0.074989645584920	0.008601828123343 -0.279133733972689	-0.003493851809415 0.113377283006002	-0.002410933867442 0.078236040424234	
-0.050508361062322 0.126340402497713	-0.131639512903327 0.329279919106616	0.075203079954496 -0.188111179826152	-0.099794039029741 0.249622414838068	-0.043503585229152 0.108818824296492	
-0.006022354739233 0.010923755999096	0.004775030104323 -0.008661273871721	-0.018858923530548 0.034207596193708	0.108611605541180 -0.197007105855093	-0.025314334071278 0.045916858213943	
0.000004983970564 0.000000001042938	0.000025728318574 0.000000005383868	-0.000028889040112 -0.000000006045276	0.000005154918672 0.000000001078710	0.000026667917353 0.000000005580487	
0.001964686320048 -0.000322263005126	0.003256421663523 -0.000534143400164	-0.002206231718720 0.000361883144614	0.003260854052169 -0.000534870434739	0.002735464232597 -0.000448691943857	
0.001107531641995 0.000000408828555	-0.008476132753519 -0.000003128836211	0.009074486085913 0.000003349709294	-0.010201375325779 -0.000003765683413	0.007218227677814 0.000002664499577	
